"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C16","2","100μF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C2,C5,C6,C7,C8,C11,C13,C14,C15","9","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4","2","10μF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9","1","4.7μF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10","1","470μF","","","","Capacitor_SMD:C_Elec_6.3x5.8","~"
"C12","1","100μF","","","","Capacitor_SMD:C_1210_3225Metric","~"
"C17,C18,C19,C20","4","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D2,D3","2","D_TVS","","","","Diode_SMD:D_SMA","~"
"D4","1","SMF5V0A","","","","Diode_SMD:D_SMF","https://www.vishay.com/doc?85881"
"F1","1","2A","","","","Fuse:Fuse_1206_3216Metric","~"
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","J_LEFT_ENCODER","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","LEFT_MOTOR","","","","Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical","~"
"J4","1","RIGHT_MOTOR","","","","Connector_JST:JST_VH_B2P-VH_1x02_P3.96mm_Vertical","~"
"J5","1","RASPBERRY_PI","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J6","1","HC_SR04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J7","1","RASPBERRY_PI_IN","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J8","1","SWD HEADER","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J9","1","J_RIGHT_ENCODER","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"R1,R10","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4,R5,R8,R11,R12,R13,R14","8","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6,R7","2","220R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","20k","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_TL3305A","~"
"TP1","1","5V","","","","TestPoint:TestPoint_Pad_D2.0mm","~"
"TP2","1","3V3","","","","TestPoint:TestPoint_Pad_D2.0mm","~"
"TP3","1","GND","","","","TestPoint:TestPoint_Pad_D2.0mm","~"
"U1","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U2","1","STM32G431CBTx","","","","Package_DFN_QFN:QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm","https://www.st.com/resource/en/datasheet/stm32g431cb.pdf"
"U3","1","TB6612FNG","","","","Package_SO:HTSSOP-24-1EP_4.4x7.8mm_P0.65mm_EP3.4x7.8mm_Mask2.4x4.68mm","https://toshiba.semicon-storage.com/us/product/linear/motordriver/detail.TB6612FNG.html"
